"id","name","status","load_type","primary_region","strength_focus","lift_role","movement_pattern","tags","unilateral","cns_load","fatigue_cost","progression_level","default_sets","default_reps","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","video_url","session_type","signal","inspired_by","difficulty","coach_preference","program_day_type"
"BW_001","Bodyweight Squat","inactive","bodyweight","lower","hypertrophy","auxiliary","squat","squat, bilateral, foundation","FALSE","medium","medium","foundation","3","8-12","45","low","8","99","None","4x4 ft","Squat down under control and stand back up","Knees track over toes","","strength","strength","self","1","1","heavy_lower"
"BW_002","Split Squat","active","bodyweight","lower","hypertrophy","auxiliary","lunge","split_squat, single_leg, balance","TRUE","low","medium","foundation","3","8-12","45","moderate","8","99","None","4x4 ft","Rear foot stays back as athlete lowers into split squat","Chest tall, control depth","","strength","strength","self","2","1","heavy_lower"
"BW_003","Reverse Lunge","active","bodyweight","lower","hypertrophy","auxiliary","lunge","reverse_lunge, single_leg, control","TRUE","medium","medium","foundation","3","8-12","45","moderate","8","99","None","6 ft lane","Step backward into lunge then return to start","Push through front heel","","strength","strength","self","2","1","heavy_lower"
"BW_004","Lateral Lunge","active","bodyweight","lower","hypertrophy","auxiliary","lunge","lateral_lunge, frontal_plane, hips","TRUE","medium","medium","foundation","3","8-12","45","moderate","8","99","None","6 ft lane","Step laterally into deep lunge then return","Hips back, sit into side","","strength","strength","self","2","1","heavy_lower"
"BW_005","Glute Bridge","active","bodyweight","lower","hypertrophy","auxiliary","hinge","glute_bridge, posterior_chain","FALSE","low","low","foundation","3","10-15","45","low","8","99","None","Floor","Lift hips by squeezing glutes","Hips fully extended","","strength","strength","self","1","1","heavy_lower"
"BW_006","Single-Leg Glute Bridge","active","bodyweight","lower","hypertrophy","auxiliary","hinge","single_leg, glutes, posterior_chain","TRUE","low","medium","foundation","3","","45","moderate","9","99","None","Floor","Perform glute bridge on one leg","Hips level","","strength","strength","self","2","1","heavy_lower"
"BW_007","Push-Up","active","bodyweight","upper","hypertrophy","auxiliary","push","pushup, upper_body","FALSE","low","medium","foundation","3","8-12","45","moderate","8","99","None","Floor","Lower chest to floor and push back up","Body stays straight","","strength","strength","self","2","1","upper_core_stability"
"BW_008","Incline Push-Up","active","bodyweight","upper","hypertrophy","auxiliary","push","incline_pushup, upper_body","FALSE","low","low","foundation","3","10-15","45","low","8","99","Bench or wall","Floor","Push-up with hands elevated","Full range of motion","","strength","strength","self","1","2","upper_core_stability"
"BW_009","Inverted Row","active","bodyweight","upper","hypertrophy","auxiliary","pull","inverted_row, scap_control","FALSE","low","medium","foundation","3","8-12","45","moderate","9","99","Bar or rings","Floor","Pull chest toward bar with body straight","Squeeze shoulder blades","","strength","strength","self","2","1","upper_core_stability"
"BW_010","Bear Crawl Hold","active","bodyweight","core","stability","accessory","anti_rotation","core_stability, anti_extension","FALSE","low","low","foundation","3","","45","low","8","99","None","Floor","Hold bear crawl position with knees hovering","Hips steady, breathe","","strength","neutral","self","1","1","upper_core_stability"
