"id","name","status","movement_bucket","tags","movement_direction","skating_phase","coordination_level","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","video_url","session_type","Plyo","inspired_by","coach_preference"
"MC_001","Athletic Stance Holds","active","balance_control","balance, posture, control","multi_directional","edgework","simple","30","low","8","99","None","4x4 ft","Hold athletic stance with knees bent and chest tall","Feel weight mid-foot","","movement,conditioning,circuit","FALSE","self","1"
"MC_002","Forward March Mechanics","active","linear_mechanics","linear, posture, acceleration_pattern","linear","acceleration","simple","45","low","8","99","None","10 yd lane","March forward emphasizing knee drive and posture","Slow and controlled","","movement,conditioning,circuit","FALSE","self","1"
"MC_004","High-Knee Skip","active","coordination","rhythm, coordination, acceleration_pattern","linear","acceleration","moderate","45","low-med","8","99","None","10 yd lane","Skip forward with explosive vertical skips","focus on explosive and soft landing","","movement,conditioning,circuit","FALSE","self","1"
"MC_005","Single-Leg Balance Reach","active","balance_control","balance, single_leg, control","multi_directional","edgework","moderate","45","low","8","99","None","4x4 ft","Balance on one leg while reaching forward and sideways","Hips level","","movement,conditioning,circuit","FALSE","self","1"
"MC_006","Lateral Shuffle Mechanics","active","lateral_movement","lateral, posture, edgework_pattern","lateral","change_of_direction","simple","45","low-med","8","99","None","10 yd lane","Shuffle laterally maintaining athletic stance","Push not step","","movement,conditioning,circuit","FALSE","self","1"
"MC_037","Single-Leg Hurdle Step-Over","active","balance_control","single_leg, coordination, hurdle_control","multi_directional","change_of_direction","moderate","45","low-med","10","99","Mini hurdles","6 ft lane","Balance on one leg and step over low hurdle, alternate legs each rep","Control balance before speed","","movement,conditioning,circuit","TRUE","self","1"
"MC_038","Two-Foot Hurdle Jump (Higher)","active","plyometric","two_foot_jump, landing_control, plyometric","linear","acceleration","moderate","30","med","12","99","Hurdles","6 ft lane","Jump over hurdle with two feet and stick the landing","Land soft, absorb force","","movement,conditioning,circuit","TRUE","self","1"
"MC_010","Single-Leg RDL Reach","active","balance_control","single_leg, hinge, balance","multi_directional","edgework","moderate","45","low-med","10","99","None","4x4 ft","Hinge on one leg reaching opposite hand forward","Balance first","","movement,conditioning,circuit","FALSE","self","1"
"MC_011","Lateral Bound Hold","active","lateral_movement","lateral, bound, landing_control","lateral","change_of_direction","moderate","45","med","12","99","None","6x6 ft","Bound laterally and stick the landing","Hold the landing","","movement,conditioning,circuit","TRUE","self","1"
"MC_012","Quick Feet Ladder (1-in)","active","coordination","quick_feet, rhythm, coordination","linear","top_speed","simple","45","low-med","8","99","Ladder","6 ft ladder","One foot in each box moving forward","Light feet","","movement,conditioning,circuit","FALSE","self","1"
"MC_013","Quick Feet Ladder (2-in)","active","coordination","quick_feet, rhythm, coordination","linear","top_speed","simple","45","low-med","8","99","Ladder","6 ft ladder","Two feet in each box moving forward","Stay relaxed","","movement,conditioning,circuit","FALSE","self","1"
"MC_015","T-Pattern Shuffle","active","multi_direction","change_of_direction, lateral, deceleration","multi_directional","change_of_direction","moderate","60","low-med","10","99","Cones","10x10 yd","T-shape shuffle and backpedal","Change directions cleanly","","movement,conditioning,circuit","FALSE","self","1"
